province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,raw_coal_emissions_mt
广东,2014,0.7193907662891404,201.53,6.057394029071285,0.45881362313092916,0.6862216032726957,0.13151591961306675,22276,0.5794448549684742,69593.4,11489.0,7884.0,31930.4,9152.64,500.64849354666666,290.09819373333335
广东,2015,0.6567404323615684,240.95,6.492618599075184,0.44728887060015193,0.6950676485699606,0.16918576432852198,33477,0.5645870474606679,75820.8,11678.0,8117.0,33913.8,12827.8,497.9458497400001,281.13377710000003
广东,2016,0.6070690755197418,247.9961739439923,7.011538461538461,0.42517372630651046,0.7014612025529056,0.16104374717043504,38626,0.5539467671573036,83493.4,11908.0,8353.0,35499.2,13446.09,506.86261150000007,280.77490503333337
广东,2017,0.5733015147031839,296.1679399373422,7.660390412651347,0.41435065717038255,0.707437608104769,0.16168498830167904,45740,0.5582327544410337,93004.8,12141.0,8589.0,38536.6,15037.48,533.1979271466668,297.6485475333334
广东,2018,0.5470168940446172,331.9175855205789,8.250396825396825,0.40636205422479704,0.7180919987042436,0.1543962801801015,53259,0.5313529102442047,101875.9,12348.0,8867.0,41398.5,15729.26,557.27838396,296.11149113333335
广东,2019,0.49995375756545624,360.6078177591673,8.84523180398751,0.39403773578073664,0.7264793017855713,0.1565868336651033,59742,0.5294212683422981,110468.1,12489.0,9073.0,43528.6,17297.85,552.2894168611658,292.3937635666666
广东,2020,0.5058073500623612,379.5347551530972,9.007358998732572,0.3848106876418645,0.7415240811153359,0.1532931019471651,70695,0.4965552836936062,113708.9,12624.0,9361.0,43756.4,17430.79,575.1479738750602,285.5927653333333
广东,2021,0.5248709973814272,406.5309358238781,10.0581362346263,0.3917402298526228,0.7462945443077893,0.14302697813249055,102850,0.5202204117787472,127577.4,12684.0,9466.0,49977.2,18247.01,669.6167718132929,348.34831276666665
广东,2022,0.4972357212895139,416.3588510334678,10.472236706960576,0.38734457411742695,0.7478075373311212,0.13982259891012327,115080,0.5188954834547336,132547.1,12657.0,9465.0,51341.4,18533.08,659.0715287333333,341.98923953333326
广西,2011,1.6551333952721516,33.89,2.2497744360902256,0.4049767490713951,0.4189044038668099,0.24303952180431027,634,0.6617856452990623,10472.7,4655.0,1950.0,4241.2,2545.28,173.33715508666666,114.71204103333332
广西,2012,1.6774796580438276,89.35,2.4492117596932257,0.3916897169597968,0.4348103962505326,0.2596619870222501,902,0.6115260693731617,11496.6,4694.0,2041.0,4503.1,2985.23,192.8531263666667,117.93471433333333
广西,2013,1.4965769959360493,141.46,2.6803212851405624,0.37137832594672177,0.45106742760515744,0.2530377111493147,1295,0.6182465868545765,12680.6,4731.0,2134.0,4709.3,3208.67,189.7749425466667,117.32771050000002
广西,2014,1.3242663377523747,166.12,2.9049685534591196,0.3713438264521856,0.46540880503144655,0.2511268916841672,1933,0.5875346144577615,13856.7,4770.0,2220.0,5145.6,3479.79,183.49961362333332,107.81237474333334
广西,2015,1.1525197883372587,207.23,3.124132197048431,0.3586778619046985,0.4799418000415714,0.27048941464518106,4017,0.5495560108662074,15030.2,4811.0,2309.0,5391.0,4065.51,173.22602922666667,95.1974056
广西,2016,1.1115088091757424,223.3246591958281,3.380111179740581,0.34238481592476183,0.49248507309038503,0.27055161659722726,5159,0.5673175144532188,16417.2,4857.0,2392.0,5621.0,4441.7,182.47862422,103.52331953333332
广西,2017,1.0726909809259781,261.9380256670158,3.682840839616874,0.33966367303574097,0.5058080293458325,0.27161528799172185,4553,0.553260592387425,18071.7,4907.0,2482.0,6138.3,4908.55,193.853496,107.25150003333333
广西,2018,1.0493788848068084,289.2483019562251,4.033090762078027,0.33545512412476125,0.5182939155043461,0.26617982427562564,4330,0.5775380451899699,19951.7,4947.0,2564.0,6692.9,5310.74,209.36892695999998,120.91852079999998
广西,2019,1.0617424895157321,309.9130207128347,4.283721397029305,0.3219220767050114,0.5297069450020072,0.2741587985849167,3413,0.5978451753447461,21341.5,4982.0,2639.0,6870.3,5850.96,226.5917734,135.46679849999998
广西,2020,0.9988150637957455,325.1706763931218,4.43329348475792,0.3176349508105363,0.541940625622634,0.2777202514977057,3521,0.6336600222930832,22250.7,5019.0,2720.0,7067.6,6179.47,222.24334339999996,140.82672193333332
广西,2021,0.9452413650360947,355.1140248743083,5.025114155251141,0.33673626612409374,0.5507246376811594,0.22940323568338503,4573,0.5904530356850711,25311.5,5037.0,2774.0,8523.3,5806.54,239.25476811111113,141.26870413333333
广西,2022,0.867524682339315,362.0237316476128,5.234733505052507,0.3356321229991256,0.5565682583713097,0.2230653641033017,5472,0.6227209763854008,26419.7,5047.0,2809.0,8867.3,5893.32,229.19741850000003,142.72604023333335
海南,2011,2.097751066756432,45.56,2.837191011235955,0.26585085739178643,0.503370786516854,0.308423428775098,272,0.2867947592945707,2525.1,890.0,448.0,671.3,778.8,52.97031218666667,15.191607933333332
海南,2012,1.8940949841691108,102.94,3.1468131868131866,0.2609302975275877,0.5098901098901099,0.31836499511104904,396,0.314566518229761,2863.6,910.0,464.0,747.2,911.67,54.23930396666666,17.061868999999998
海南,2013,1.6229893334166172,158.26,3.480326086956522,0.23451700552796775,0.5228260869565218,0.315803116899341,449,0.3593594147979181,3201.9,920.0,481.0,750.9,1011.17,51.966495466666665,18.674649399999996
海南,2014,1.6619464145863927,179.62,3.783333333333333,0.2333954591663843,0.5331196581196581,0.3105557438156557,380,0.32051396168296237,3541.2,936.0,499.0,826.5,1099.74,58.85284643333333,18.863158966666667
海南,2015,1.7277244199469517,230.33,4.002857142857143,0.2334047109207709,0.5492063492063493,0.3276574933248738,417,0.30504653358286415,3782.7,945.0,519.0,882.9,1239.43,65.35463163333334,19.936203833333334
海南,2016,1.4997699837790093,231.5591936314589,4.337513061650992,0.21777884847024814,0.567398119122257,0.331602023608769,383,0.301034881656722,4151.0,957.0,543.0,904.0,1376.48,62.255452026666674,18.741062633333335
海南,2017,1.3343691515297946,275.6396368225138,4.6840534979423865,0.21884952447890357,0.5802469135802469,0.3171539019086736,373,0.3346002146755247,4552.9,972.0,564.0,996.4,1443.97,60.75249310000001,20.327797233333335
海南,2018,1.2755725777013975,309.7181098592779,5.095926680244399,0.21044322768874144,0.5916496945010183,0.3379761000759362,489,0.3367826015517409,5004.2,982.0,581.0,1053.1,1691.3,63.832202933333335,21.497575366666666
海南,2019,1.214543535870344,328.7521355233544,5.469447236180905,0.20131934363572881,0.5939698492462312,0.3415225740063578,530,0.315818830874323,5442.1,995.0,591.0,1095.6,1858.6,66.0966737656,20.87457423333333
海南,2020,1.138991211057533,344.0490659178224,5.573913043478261,0.19050489292298964,0.6027667984189723,0.34967735073039286,721,0.29178670473770724,5640.8,1012.0,610.0,1074.6,1972.46,64.24821623333332,18.7467753
海南,2021,1.0509211784889407,375.3539027256966,6.381274509803921,0.189448293874541,0.6098039215686275,0.30287298929158535,954,0.3066241185933385,6508.9,1020.0,622.0,1233.1,1971.37,68.40340858666666,20.974134866666667
海南,2022,0.8824167244339002,382.2824214574306,6.731061343719571,0.18536627705126724,0.6144109055501461,0.3034038305751649,1602,0.3451058144867597,6912.8,1027.0,631.0,1281.4,2097.37,60.99970332666665,21.051352299999998
